RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1678087454512	test	3.3.1
USER	MyComputerJourney	2	START	1678087460568	1678087460568
USER	MyComputerJourney	1	START	1678087460558	1678087460558
REQUEST	2		LoadHomePage	1678087460611	1678087461394	OK	 
REQUEST	1		LoadHomePage	1678087460609	1678087461389	OK	 
USER	MyComputerJourney	3	START	1678087462558	1678087462558
REQUEST	3		LoadHomePage	1678087462561	1678087463269	OK	 
USER	MyComputerJourney	4	START	1678087464559	1678087464559
REQUEST	4		LoadHomePage	1678087464562	1678087465421	OK	 
USER	MyComputerJourney	5	START	1678087466558	1678087466558
REQUEST	2		LoadNewComputerPage	1678087466420	1678087466576	OK	 
REQUEST	1		LoadNewComputerPage	1678087466410	1678087466577	OK	 
REQUEST	5		LoadHomePage	1678087466562	1678087467378	OK	 
REQUEST	3		LoadNewComputerPage	1678087468290	1678087468411	OK	 
USER	MyComputerJourney	6	START	1678087468559	1678087468559
REQUEST	6		LoadHomePage	1678087468562	1678087469415	OK	 
USER	MyComputerJourney	7	START	1678087470559	1678087470559
REQUEST	4		LoadNewComputerPage	1678087470440	1678087470576	OK	 
USER	MyComputerJourney	8	START	1678087470608	1678087470608
USER	MyComputerJourney	9	START	1678087470659	1678087470659
USER	MyComputerJourney	10	START	1678087470708	1678087470708
USER	MyComputerJourney	11	START	1678087470758	1678087470758
USER	MyComputerJourney	12	START	1678087470808	1678087470808
USER	MyComputerJourney	13	START	1678087470858	1678087470858
USER	MyComputerJourney	14	START	1678087470908	1678087470908
USER	MyComputerJourney	15	START	1678087470958	1678087470958
USER	MyComputerJourney	16	START	1678087471008	1678087471008
USER	MyComputerJourney	17	START	1678087471058	1678087471058
REQUEST	7		LoadHomePage	1678087470562	1678087471085	OK	 
USER	MyComputerJourney	18	START	1678087471109	1678087471109
REQUEST	8		LoadHomePage	1678087470609	1678087471115	OK	 
REQUEST	9		LoadHomePage	1678087470661	1678087471117	OK	 
USER	MyComputerJourney	19	START	1678087471159	1678087471159
REQUEST	10		LoadHomePage	1678087470711	1678087471160	OK	 
REQUEST	11		LoadHomePage	1678087470761	1678087471200	OK	 
USER	MyComputerJourney	20	START	1678087471209	1678087471209
REQUEST	12		LoadHomePage	1678087470809	1678087471255	OK	 
USER	MyComputerJourney	21	START	1678087471259	1678087471259
USER	MyComputerJourney	22	START	1678087471308	1678087471308
REQUEST	13		LoadHomePage	1678087470859	1678087471352	OK	 
USER	MyComputerJourney	23	START	1678087471358	1678087471358
REQUEST	14		LoadHomePage	1678087470909	1678087471361	OK	 
USER	MyComputerJourney	24	START	1678087471409	1678087471409
REQUEST	15		LoadHomePage	1678087470959	1678087471451	OK	 
REQUEST	16		LoadHomePage	1678087471011	1678087471454	OK	 
USER	MyComputerJourney	25	START	1678087471459	1678087471459
REQUEST	17		LoadHomePage	1678087471061	1678087471503	OK	 
USER	MyComputerJourney	26	START	1678087471508	1678087471508
REQUEST	18		LoadHomePage	1678087471112	1678087471551	OK	 
USER	MyComputerJourney	27	START	1678087471558	1678087471558
REQUEST	19		LoadHomePage	1678087471160	1678087471602	OK	 
USER	MyComputerJourney	28	START	1678087471608	1678087471608
REQUEST	20		LoadHomePage	1678087471211	1678087471649	OK	 
USER	MyComputerJourney	29	START	1678087471658	1678087471658
REQUEST	21		LoadHomePage	1678087471261	1678087471691	OK	 
USER	MyComputerJourney	30	START	1678087471709	1678087471709
REQUEST	1		CreateNewComputer	1678087471579	1678087471688	OK	 
REQUEST	2		CreateNewComputer	1678087471578	1678087471689	OK	 
USER	MyComputerJourney	31	START	1678087471759	1678087471759
REQUEST	22		LoadHomePage	1678087471311	1678087471761	OK	 
USER	MyComputerJourney	32	START	1678087471808	1678087471808
REQUEST	23		LoadHomePage	1678087471359	1678087471816	OK	 
REQUEST	2		CreateNewComputer Redirect 1	1678087471713	1678087471826	OK	 
REQUEST	1		CreateNewComputer Redirect 1	1678087471712	1678087471830	OK	 
REQUEST	24		LoadHomePage	1678087471410	1678087471841	OK	 
USER	MyComputerJourney	33	START	1678087471859	1678087471859
REQUEST	25		LoadHomePage	1678087471460	1678087471896	OK	 
USER	MyComputerJourney	34	START	1678087471908	1678087471908
REQUEST	26		LoadHomePage	1678087471510	1678087471956	OK	 
USER	MyComputerJourney	35	START	1678087471958	1678087471958
REQUEST	27		LoadHomePage	1678087471560	1678087471990	OK	 
USER	MyComputerJourney	36	START	1678087472008	1678087472008
REQUEST	28		LoadHomePage	1678087471610	1678087472040	OK	 
USER	MyComputerJourney	37	START	1678087472058	1678087472058
REQUEST	29		LoadHomePage	1678087471659	1678087472092	OK	 
USER	MyComputerJourney	38	START	1678087472109	1678087472109
USER	MyComputerJourney	39	START	1678087472158	1678087472158
REQUEST	30		LoadHomePage	1678087471710	1678087472174	OK	 
REQUEST	31		LoadHomePage	1678087471760	1678087472189	OK	 
USER	MyComputerJourney	40	START	1678087472209	1678087472209
REQUEST	32		LoadHomePage	1678087471811	1678087472247	OK	 
USER	MyComputerJourney	41	START	1678087472258	1678087472258
REQUEST	33		LoadHomePage	1678087471861	1678087472302	OK	 
USER	MyComputerJourney	42	START	1678087472308	1678087472308
REQUEST	34		LoadHomePage	1678087471909	1678087472347	OK	 
USER	MyComputerJourney	43	START	1678087472359	1678087472359
REQUEST	35		LoadHomePage	1678087471959	1678087472394	OK	 
USER	MyComputerJourney	44	START	1678087472408	1678087472408
REQUEST	36		LoadHomePage	1678087472009	1678087472441	OK	 
USER	MyComputerJourney	45	START	1678087472458	1678087472458
REQUEST	37		LoadHomePage	1678087472059	1678087472499	OK	 
REQUEST	5		LoadNewComputerPage	1678087472399	1678087472509	OK	 
USER	MyComputerJourney	46	START	1678087472509	1678087472509
REQUEST	38		LoadHomePage	1678087472110	1678087472543	OK	 
USER	MyComputerJourney	47	START	1678087472558	1678087472558
REQUEST	39		LoadHomePage	1678087472159	1678087472597	OK	 
USER	MyComputerJourney	48	START	1678087472609	1678087472609
REQUEST	40		LoadHomePage	1678087472210	1678087472647	OK	 
USER	MyComputerJourney	49	START	1678087472658	1678087472658
USER	MyComputerJourney	50	START	1678087472708	1678087472708
REQUEST	42		LoadHomePage	1678087472310	1678087472728	OK	 
REQUEST	41		LoadHomePage	1678087472259	1678087472738	OK	 
USER	MyComputerJourney	51	START	1678087472758	1678087472758
REQUEST	43		LoadHomePage	1678087472360	1678087472798	OK	 
USER	MyComputerJourney	52	START	1678087472809	1678087472809
REQUEST	44		LoadHomePage	1678087472410	1678087472847	OK	 
USER	MyComputerJourney	53	START	1678087472858	1678087472858
REQUEST	45		LoadHomePage	1678087472459	1678087472890	OK	 
USER	MyComputerJourney	54	START	1678087472908	1678087472908
REQUEST	46		LoadHomePage	1678087472510	1678087472925	OK	 
USER	MyComputerJourney	55	START	1678087472959	1678087472959
REQUEST	47		LoadHomePage	1678087472559	1678087473003	OK	 
USER	MyComputerJourney	56	START	1678087473008	1678087473008
REQUEST	48		LoadHomePage	1678087472610	1678087473045	OK	 
USER	MyComputerJourney	57	START	1678087473059	1678087473059
REQUEST	49		LoadHomePage	1678087472662	1678087473099	OK	 
USER	MyComputerJourney	58	START	1678087473109	1678087473109
REQUEST	50		LoadHomePage	1678087472709	1678087473139	OK	 
USER	MyComputerJourney	59	START	1678087473159	1678087473159
REQUEST	51		LoadHomePage	1678087472760	1678087473190	OK	 
USER	MyComputerJourney	60	START	1678087473209	1678087473209
REQUEST	52		LoadHomePage	1678087472810	1678087473241	OK	 
USER	MyComputerJourney	61	START	1678087473259	1678087473259
REQUEST	53		LoadHomePage	1678087472859	1678087473293	OK	 
USER	MyComputerJourney	62	START	1678087473308	1678087473308
USER	MyComputerJourney	63	START	1678087473358	1678087473358
REQUEST	54		LoadHomePage	1678087472909	1678087473370	OK	 
REQUEST	55		LoadHomePage	1678087472959	1678087473392	OK	 
USER	MyComputerJourney	64	START	1678087473408	1678087473408
REQUEST	56		LoadHomePage	1678087473009	1678087473450	OK	 
USER	MyComputerJourney	65	START	1678087473458	1678087473458
REQUEST	57		LoadHomePage	1678087473060	1678087473494	OK	 
