RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1678089131265	test RUN 1	3.3.1
USER	MyComputerJourney	1	START	1678089137013	1678089137013
USER	MyComputerJourney	2	START	1678089137022	1678089137022
REQUEST	1		LoadHomePage	1678089137073	1678089137818	OK	 
REQUEST	2		LoadHomePage	1678089137071	1678089137819	OK	 
USER	MyComputerJourney	3	START	1678089139012	1678089139012
REQUEST	3		LoadHomePage	1678089139014	1678089139894	OK	 
USER	MyComputerJourney	4	START	1678089141012	1678089141012
REQUEST	4		LoadHomePage	1678089141015	1678089141852	OK	 
USER	MyComputerJourney	5	START	1678089143012	1678089143012
REQUEST	1		LoadNewComputerPage	1678089142844	1678089143031	OK	 
REQUEST	2		LoadNewComputerPage	1678089142844	1678089143031	OK	 
REQUEST	5		LoadHomePage	1678089143016	1678089143892	OK	 
USER	MyComputerJourney	6	START	1678089145012	1678089145012
REQUEST	3		LoadNewComputerPage	1678089144913	1678089145030	OK	 
REQUEST	6		LoadHomePage	1678089145015	1678089145856	OK	 
REQUEST	4		LoadNewComputerPage	1678089146873	1678089146986	OK	 
USER	MyComputerJourney	7	START	1678089147013	1678089147013
USER	MyComputerJourney	8	START	1678089147063	1678089147063
USER	MyComputerJourney	9	START	1678089147112	1678089147112
USER	MyComputerJourney	10	START	1678089147162	1678089147162
USER	MyComputerJourney	11	START	1678089147213	1678089147213
USER	MyComputerJourney	12	START	1678089147262	1678089147262
USER	MyComputerJourney	13	START	1678089147313	1678089147313
USER	MyComputerJourney	14	START	1678089147363	1678089147363
USER	MyComputerJourney	15	START	1678089147413	1678089147413
USER	MyComputerJourney	16	START	1678089147469	1678089147469
USER	MyComputerJourney	17	START	1678089147513	1678089147513
REQUEST	7		LoadHomePage	1678089147015	1678089147559	OK	 
USER	MyComputerJourney	18	START	1678089147562	1678089147562
REQUEST	8		LoadHomePage	1678089147066	1678089147577	OK	 
REQUEST	9		LoadHomePage	1678089147115	1678089147599	OK	 
REQUEST	10		LoadHomePage	1678089147165	1678089147602	OK	 
USER	MyComputerJourney	19	START	1678089147612	1678089147612
REQUEST	11		LoadHomePage	1678089147216	1678089147660	OK	 
USER	MyComputerJourney	20	START	1678089147662	1678089147662
USER	MyComputerJourney	21	START	1678089147712	1678089147712
REQUEST	12		LoadHomePage	1678089147272	1678089147725	OK	 
REQUEST	13		LoadHomePage	1678089147314	1678089147755	OK	 
USER	MyComputerJourney	22	START	1678089147762	1678089147762
REQUEST	14		LoadHomePage	1678089147364	1678089147802	OK	 
USER	MyComputerJourney	23	START	1678089147812	1678089147812
USER	MyComputerJourney	24	START	1678089147862	1678089147862
REQUEST	15		LoadHomePage	1678089147415	1678089147884	OK	 
USER	MyComputerJourney	25	START	1678089147912	1678089147912
REQUEST	16		LoadHomePage	1678089147473	1678089147946	OK	 
